Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-11-19,6.25,6.25,5.5,6.0,3800,5.52,0.0
2012-11-20,6.24,6.75,6.1,6.11,33000,5.63,0.019927536231884035
2012-11-21,6.2,6.2,6.09,6.12,2200,5.64,0.001776198934280604
2012-11-23,6.15,6.15,6.0,6.0,4200,5.52,-0.021276595744680882
2012-11-26,5.99,6.0,5.7,5.94,21200,5.47,-0.009057971014492683
2012-11-27,5.99,6.0,5.84,5.85,9900,5.39,-0.014625228519195677
2012-11-28,6.0,6.0,5.82,6.0,4000,5.52,0.024118738404452778
2012-11-29,6.0,6.0,5.8,5.98,8800,5.51,-0.0018115942028985588
2012-11-30,5.8,6.0,5.8,6.0,6600,5.52,0.001814882032667775
2012-12-03,6.01,6.01,5.8,5.93,6300,5.46,-0.010869565217391242
2012-12-04,6.2,6.2,5.8,6.0,21400,5.52,0.01098901098901095
2012-12-05,6.25,6.25,5.8,5.86,6600,5.4,-0.021739130434782483
2012-12-06,6.0,6.01,5.8,5.8,18000,5.34,-0.011111111111111183
2012-12-07,5.97,5.97,5.97,5.97,200,5.5,0.029962546816479474
2012-12-10,5.99,6.0,5.85,5.91,14300,5.44,-0.010909090909090868
2012-12-11,5.99,6.02,5.94,5.94,4800,5.47,0.0055147058823528106
2012-12-12,5.93,5.93,5.81,5.85,6200,5.39,-0.014625228519195677
2012-12-13,5.86,5.86,5.8,5.82,39200,5.36,-0.0055658627087197265
2012-12-14,5.84,5.84,5.8,5.83,18000,5.37,0.001865671641791078
2012-12-17,5.81,5.93,5.8,5.8,10600,5.34,-0.005586592178770999
2012-12-18,5.83,6.13,5.8,5.8,11500,5.34,0.0
2012-12-19,5.86,6.21,5.8,5.95,9400,5.48,0.02621722846441954
2012-12-20,5.8,5.96,5.8,5.9,15500,5.43,-0.009124087591241059
2012-12-21,5.9,6.0,5.8,5.8,13600,5.34,-0.016574585635359074
2012-12-24,5.81,5.81,5.81,5.81,400,5.35,0.001872659176029856
2012-12-26,5.81,5.81,5.81,5.81,0,5.35,0.0
2012-12-27,5.8,6.36,5.8,5.9,11800,5.48,0.024299065420560817
2012-12-28,6.84,6.84,5.8,5.91,10000,5.49,0.0018248175182480342
2012-12-31,5.8,6.62,5.8,6.16,15600,5.72,0.041894353369763104
2013-01-02,6.22,6.35,5.86,6.16,23000,5.72,0.0
2013-01-03,5.92,6.07,5.92,6.0,1200,5.57,-0.02622377622377614
2013-01-04,6.09,6.1,5.98,5.98,24700,5.55,-0.0035906642728905647
2013-01-07,5.97,6.03,5.87,6.03,5700,5.6,0.009009009009008917
2013-01-08,6.02,6.08,6.0,6.0,5400,5.57,-0.005357142857142727
2013-01-09,6.02,6.25,5.86,6.0,12200,5.57,0.0
2013-01-10,6.01,6.01,5.95,5.98,9600,5.55,-0.0035906642728905647
2013-01-11,6.04,6.05,6.04,6.05,200,5.62,0.012612612612612706
2013-01-14,6.08,6.08,6.01,6.01,3500,5.58,-0.007117437722419906
2013-01-15,6.24,6.24,6.01,6.01,3600,5.58,0.0
2013-01-16,6.05,6.19,6.01,6.19,3200,5.75,0.03046594982078843
2013-01-17,6.21,6.21,6.02,6.02,3800,5.59,-0.02782608695652178
2013-01-18,6.2,6.2,6.05,6.05,1300,5.62,0.005366726296959001
2013-01-22,6.09,6.09,6.03,6.03,6000,5.6,-0.003558718861210064
2013-01-23,6.08,6.2,6.06,6.07,10500,5.64,0.0071428571428571175
2013-01-24,6.03,6.14,6.03,6.04,1400,5.61,-0.005319148936170137
2013-01-25,6.08,6.18,6.03,6.05,7500,5.62,0.0017825311942958333
2013-01-28,6.17,6.17,6.05,6.05,8300,5.62,0.0
2013-01-29,6.09,6.15,6.02,6.06,15100,5.63,0.001779359430605032
2013-01-30,6.1,6.13,6.07,6.08,11800,5.68,0.008880994671403242
2013-01-31,6.14,6.14,6.03,6.03,2800,5.63,-0.008802816901408383
2013-02-01,6.07,6.13,6.0,6.05,14800,5.65,0.00355239786856143
2013-02-04,6.13,6.15,6.03,6.1,8100,5.7,0.008849557522123908
2013-02-05,6.1,6.1,6.07,6.07,5900,5.67,-0.0052631578947368585
2013-02-06,6.04,6.13,6.01,6.01,14500,5.61,-0.01058201058201047
2013-02-07,6.02,6.02,6.02,6.02,300,5.62,0.0017825311942958333
2013-02-08,6.1,6.1,6.02,6.02,15900,5.62,0.0
2013-02-11,6.04,6.1,6.04,6.04,16100,5.64,0.003558718861209842
2013-02-12,6.09,6.1,6.04,6.06,8600,5.66,0.0035460992907803135
2013-02-13,6.03,6.06,6.03,6.05,3200,5.65,-0.0017667844522968323
2013-02-14,6.07,6.09,6.05,6.05,3000,5.65,0.0
2013-02-15,6.07,6.1,6.05,6.1,3600,5.7,0.008849557522123908
2013-02-19,6.09,6.1,6.08,6.1,6800,5.7,0.0
2013-02-20,6.1,6.1,6.08,6.08,8800,5.68,-0.0035087719298246833
