Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-10-12,31.0,31.37,28.0,30.68,346500,30.68,0.0
2012-10-15,30.48,30.7,29.5,30.25,144700,30.25,-0.014015645371577512
2012-10-16,30.3,30.56,29.8,30.26,155700,30.26,0.00033057851239681746
2012-10-17,30.33,30.81,30.29,30.54,85500,30.54,0.009253139458030413
2012-10-18,30.61,31.1,30.35,30.87,33700,30.87,0.01080550098231825
2012-10-19,30.58,31.2,30.58,31.05,23700,31.05,0.005830903790087438
2012-10-22,31.0,31.5,31.0,31.49,38700,31.49,0.014170692431561882
2012-10-23,31.5,32.29,31.2,32.29,101300,32.29,0.025404890441409922
2012-10-24,32.05,33.25,32.0,33.01,52700,33.01,0.022297925054196366
2012-10-25,33.03,33.5,33.01,33.48,52800,33.48,0.014238109663738285
2012-10-26,33.5,35.0,33.5,34.85,125500,34.85,0.040919952210275
2012-10-31,34.85,36.5,34.85,36.5,76700,36.5,0.04734576757532283
2012-11-01,36.5,37.0,35.0,36.96,118900,36.96,0.012602739726027323
2012-11-02,36.55,37.19,36.07,36.12,20700,36.12,-0.022727272727272818
2012-11-05,37.2,37.25,36.63,37.14,32700,37.14,0.028239202657807327
2012-11-06,36.99,37.25,36.54,36.91,30100,36.91,-0.0061927840603124285
2012-11-07,36.55,36.98,35.38,36.0,71200,36.0,-0.024654565158493513
2012-11-08,36.5,36.5,35.04,35.53,24100,35.53,-0.013055555555555487
2012-11-09,35.59,36.48,33.79,35.92,27800,35.92,0.010976639459611581
2012-11-12,36.25,36.94,34.51,34.55,18500,34.55,-0.03814031180400901
2012-11-13,35.98,35.98,35.03,35.03,7700,35.03,0.013892908827785933
2012-11-14,33.84,36.48,33.84,35.43,72700,35.43,0.011418783899514562
2012-11-15,35.52,35.98,32.79,33.26,28300,33.26,-0.06124753034151853
2012-11-16,32.83,35.94,30.35,31.75,38000,31.75,-0.045399879735417814
2012-11-19,31.65,32.44,31.01,32.05,53500,32.05,0.0094488188976376
2012-11-20,31.26,32.84,31.26,31.99,42000,31.99,-0.0018720748829952338
2012-11-21,31.52,32.37,29.54,30.76,20300,30.76,-0.03844951547358544
2012-11-23,32.19,32.19,32.19,32.19,200,32.19,0.04648894668400505
2012-11-26,31.52,33.21,31.52,32.11,29800,32.11,-0.0024852438645541763
2012-11-27,31.9,33.14,31.8,32.01,30300,32.01,-0.0031142946122704185
2012-11-28,33.16,33.16,31.86,32.13,14400,32.13,0.0037488284910967007
2012-11-29,32.01,32.94,31.72,32.02,21300,32.02,-0.0034235916588857274
2012-11-30,32.0,32.93,30.96,31.53,163800,31.53,-0.01530293566520935
2012-12-03,30.18,31.7,30.18,30.9,63700,30.9,-0.019980970504281714
2012-12-04,31.05,31.12,29.58,30.2,67300,30.2,-0.02265372168284785
2012-12-05,30.44,30.67,29.32,29.82,24000,29.82,-0.012582781456953573
2012-12-06,29.78,30.2,29.32,30.09,16300,30.09,0.0090543259557343
2012-12-07,30.05,31.26,29.66,30.49,225600,30.49,0.01329345297440998
2012-12-10,30.02,31.66,29.96,30.4,118800,30.4,-0.002951787471302092
2012-12-11,30.4,31.51,30.4,30.61,102700,30.61,0.006907894736842168
2012-12-12,30.79,30.8,29.6,30.05,171300,30.05,-0.018294674942829103
2012-12-13,30.0,31.2,29.87,29.96,112400,29.96,-0.002995008319467529
2012-12-14,29.31,30.24,29.31,29.98,106900,29.98,0.0006675567423231055
2012-12-17,30.57,30.57,29.88,29.88,206500,29.88,-0.0033355570380253496
2012-12-18,29.48,30.0,29.48,30.0,158600,30.0,0.004016064257028162
2012-12-19,31.58,31.73,29.79,30.1,212300,30.1,0.0033333333333334103
2012-12-20,30.1,30.4,29.82,30.13,93800,30.13,0.0009966777408636496
2012-12-21,29.82,31.92,29.82,30.06,211300,30.06,-0.0023232658479920287
